,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
1,56,housemaid,married,1,1,no,no,telephone,may,mon,261,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
2,57,services,married,4,2,no,no,telephone,may,mon,149,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
3,37,services,married,4,1,yes,no,telephone,may,mon,226,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
4,40,admin.,married,2,1,no,no,telephone,may,mon,151,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
5,56,services,married,4,1,no,yes,telephone,may,mon,307,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
6,45,services,married,3,2,no,no,telephone,may,mon,198,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
7,59,admin.,married,6,1,no,no,telephone,may,mon,139,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
8,41,blue-collar,married,7,2,no,no,telephone,may,mon,217,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
9,24,technician,single,6,1,yes,no,telephone,may,mon,380,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
10,25,services,single,4,1,yes,no,telephone,may,mon,50,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
11,41,blue-collar,married,7,2,no,no,telephone,may,mon,55,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
12,25,services,single,4,1,yes,no,telephone,may,mon,222,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
13,29,blue-collar,single,4,1,no,yes,telephone,may,mon,137,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
14,57,housemaid,divorced,1,1,yes,no,telephone,may,mon,293,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
15,35,blue-collar,married,2,1,yes,no,telephone,may,mon,146,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
16,54,retired,married,3,2,yes,yes,telephone,may,mon,174,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
17,35,blue-collar,married,2,1,yes,no,telephone,may,mon,312,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
18,46,blue-collar,married,2,2,yes,yes,telephone,may,mon,440,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
19,50,blue-collar,married,3,1,yes,yes,telephone,may,mon,353,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
20,39,management,single,3,2,no,no,telephone,may,mon,195,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
21,30,unemployed,married,4,1,no,no,telephone,may,mon,38,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
22,55,blue-collar,married,1,2,yes,no,telephone,may,mon,262,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
23,55,retired,single,4,1,yes,no,telephone,may,mon,342,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
24,41,technician,single,4,1,yes,no,telephone,may,mon,181,1,999,0,2,1.1,93.994,-36.4,4.857,5191,no
